"response","cov","x","Det","DetLower","DetUpper"
"boom","set",0.15,0.211666573975386,0.183085724724948,0.243379834598885
"boom","set",0.2,0.213356794785826,0.185236109755554,0.244465588883876
"boom","set",0.25,0.215056830564062,0.187337080669985,0.245638426337226
"boom","set",0.3,0.216766679586731,0.189382260855494,0.246904754362736
"boom","set",0.35,0.218486339103735,0.191365429845828,0.248270809947613
"boom","set",0.4,0.220215805326849,0.193280707721469,0.249742474916061
"boom","set",0.45,0.221955073418482,0.195122751144445,0.251325079553728
"boom","set",0.5,0.223704137480533,0.196886946404643,0.253023209226702
"boom","set",0.55,0.225462990543405,0.198569582296545,0.254840531176832
"boom","set",0.6,0.227231624555145,0.200167985563728,0.256779658756725
"boom","set",0.65,0.229010030370739,0.201680604569285,0.258842067446961
"boom","set",0.7,0.230798197741552,0.20310703253176,0.261028071316615
"boom","set",0.75,0.232596115304937,0.204447969058544,0.263336861195932
"boom","set",0.8,0.234403770573997,0.205705126230496,0.265766598308
"boom","set",0.85,0.236221149927533,0.206881091546023,0.268314551052033
"boom","set",0.9,0.238048238600153,0.207979163519333,0.270977259144182
"boom","set",0.95,0.239885020672589,0.209003176326577,0.273750708722962
"boom","set",1,0.24173147906218,0.209957328030927,0.276630503888916
"boom","set",1.05,0.243587595513572,0.21084602348319,0.279612023582697
"boom","set",1.1,0.245453350589612,0.211673738980949,0.282690556719247
"boom","set",1.15,0.247328723662458,0.212444911991871,0.285861412273211
"boom","set",1.2,0.249213692904902,0.213163856207208,0.289120004050167
"boom","set",1.25,0.251108235281922,0.213834700078781,0.292461911991207
"boom","set",1.3,0.253012326542457,0.214461345766971,0.29588292308388
"boom","set",1.35,0.254925941211431,0.215047444918252,0.299379055461769
"boom","set",1.4,0.256849052581999,0.215596387689893,0.302946569275585
"boom","set",1.45,0.258781632708074,0.21611130174887,0.306581967609483
"boom","doy",153,0.181514621679653,0.144591099290439,0.225382779959696
"boom","doy",154,0.183203300815151,0.146826526348567,0.226203056993567
"boom","doy",155,0.184904141083766,0.149079018538242,0.227041313828874
"boom","doy",156,0.186617164067432,0.151347415877217,0.227898913562061
"boom","doy",157,0.18834239008455,0.153630424125705,0.2287773458562
"boom","doy",158,0.19007983816766,0.155926603067612,0.229678238337221
"boom","doy",159,0.191829526041152,0.158234354275881,0.230603368503203
"boom","doy",160,0.193591470099021,0.160551908546449,0.231554675962595
"boom","doy",161,0.19536568538269,0.162877313271872,0.232534274730571
"boom","doy",162,0.197152185558894,0.165208420134177,0.233544465204379
"boom","doy",163,0.198950982897652,0.167542873629655,0.234587745305302
"boom","doy",164,0.200762088250332,0.169878101095871,0.235666820117347
"boom","doy",165,0.202585511027821,0.172211305091367,0.236784609172608
"boom","doy",166,0.204421259178815,0.174539459173642,0.237944250338119
"boom","doy",167,0.206269339168231,0.176859308318106,0.239149099061945
"boom","doy",168,0.208129755955775,0.179167375396842,0.240402721560158
"boom","doy",169,0.210002512974653,0.181459975259586,0.241708880402711
"boom","doy",170,0.211887612110457,0.183733237985693,0.243071510929982
"boom","doy",171,0.213785053680224,0.185983142754301,0.244494687053256
"boom","doy",172,0.215694836411699,0.188205563453792,0.245982575318549
"boom","doy",173,0.217616957422801,0.190396326574457,0.247539376690462
"boom","doy",174,0.219551412201301,0.192551281075299,0.249169256365594
"boom","doy",175,0.221498194584748,0.194666378806126,0.250876263035001
"boom","doy",176,0.223457296740633,0.196737762777761,0.252664240303423
"boom","doy",177,0.225428709146822,0.198761859255022,0.254536734291175
"boom","doy",178,0.227412420572251,0.200735468506307,0.256496902585544
"boom","doy",179,0.229408418057927,0.202655848318985,0.258547430433015
"boom","doy",180,0.231416686898223,0.204520784293184,0.26069046016042
"boom","doy",181,0.233437210622487,0.206328641584679,0.262927539154879
"boom","doy",182,0.235469970976996,0.208078394166761,0.265259590333323
"boom","doy",183,0.237514947907242,0.209769629649553,0.267686907063737
"boom","doy",184,0.239572119540587,0.211402529933036,0.270209172262524
"boom","doy",185,0.241641462169291,0.212977830114749,0.272825499247648
"boom","doy",186,0.243722950233929,0.214496759794198,0.275534490206184
"boom","doy",187,0.245816556307212,0.215960971987776,0.278334307063088
"boom","doy",188,0.247922251078225,0.217372465214286,0.281222749191762
"boom","doy",189,0.250040003337106,0.218733503998038,0.28419733272007
"boom","doy",190,0.252169779960156,0.22004654223285,0.287255366989076
"boom","doy",191,0.254311545895429,0.221314152767979,0.290394024804155
"boom","doy",192,0.256465264148789,0.222538965421381,0.29361040427364
